digit,u1,u2,u3,u4,u5,u6,u7
Z,0.44495792,1.32965959,6.24731883,6.231022,12.51901462,7.06557474,-12.81821477
Y,0.51627734,1.59815508,1.75462348,3.13599644,5.58134347,3.93511175,7.46518303
X,0.54133307,1.70874967,5.33290327,6.65175058,-12.7078889,7.5410129,12.94113051
W,0.67425277,2.22645171,3.90973623,3.88982233,-7.78973311,5.00315462,-9.39858008
V,0.573852,1.69225016,2.3134447,6.25771036,10.72560855,8.24531505,-10.66606618
U,0.49605385,2.08057803,3.68164624,3.18712319,-6.62163896,4.22742339,-8.23123324
T,0.38031988,1.08224269,1.34343396,2.01340762,3.69182842,2.55452897,18.93761582
S,0.51969919,1.64792334,4.95729353,5.67191826,11.04484583,-6.93155069,-11.30049489
R,0.60902378,2.12287517,4.83292775,3.9952013,8.41272182,5.06303213,9.31008182
Q,0.57634203,2.02549331,4.14906274,4.15095667,8.42073977,5.17279699,8.48730432
P,0.58108929,1.87285927,2.2383611,3.0708159,5.73360174,4.02112534,6.44103096
O,0.54856838,1.95227018,4.79099084,5.28188865,-12.01548671,-6.54012259,10.318416
N,0.64938238,2.4949035,5.39603668,6.87318506,13.54703319,-8.19359582,13.02672236
M,0.68750551,2.54311978,6.16930041,4.63098721,10.45067522,5.9088427,10.06510929
L,0.38397258,1.09411042,1.48134795,2.37153583,-5.23558294,-4.04860598,-4.30089149
K,0.57738123,1.98102704,3.14620604,3.64677474,-7.0630565,-4.64954645,-7.5732248
J,0.39487555,1.10958,1.57149902,2.3894502,5.45886928,4.27370849,4.37137129
I,0.34845402,0.76061388,6.02004673,7.00570094,-13.52568243,-7.40484535,-14.26463317
H,0.54967083,2.4572403,4.88524893,5.40172123,-10.93894086,-7.182967,-10.58387703
G,0.50457907,1.6947895,3.30038092,3.43201076,6.86530582,4.40138555,-7.08591141
F,0.51135228,1.44958936,2.09218652,3.1811482,-6.70053882,5.27101116,5.82157446
E,0.49165477,1.53990678,2.80150347,3.19997765,-6.20202715,-3.97065866,7.31128871
D,0.55848967,1.87800487,3.57590344,4.70097947,-8.85025829,-5.64244503,9.4957324
C,0.41579912,1.38585655,2.40891266,2.84819822,-5.48231678,-3.54302048,-6.27524726
B,0.6217502,1.95778896,3.73587055,4.86097442,-9.15955556,-5.83987457,10.7276281
A,0.61925378,1.77036065,2.38125583,4.11086113,7.35741108,4.9963157,-8.67979304
0,0.53197343,1.91832354,5.8566375,7.18838657,13.87923178,-8.45895495,13.84494727
9,0.59242584,1.92573476,3.61033652,4.01582173,8.3356386,5.47265182,-7.8510437
8,0.6213731,2.02543968,5.89268767,7.06168249,-13.54146938,-8.10416635,14.50090648
7,0.41345486,1.18189399,1.57232729,2.28318774,4.38990925,3.00460336,-4.33631037
6,0.59758802,1.95344225,3.75480073,4.11586153,8.55431738,5.63144086,-8.07372698
5,0.53263202,1.66757632,3.99699528,5.07075145,10.18985246,6.30879759,-9.61980912
4,0.65507781,1.99646475,2.49239868,3.96890388,7.79687692,5.69017934,-7.21388911
3,0.4850315,1.50457913,2.67041482,3.13072425,-6.03644809,-3.88569269,6.84615805
2,0.4771941,1.47359153,3.26845148,3.5937909,7.21578552,4.88858208,7.1414069
1,0.34845402,0.76061388,6.02004673,7.00570094,-13.52568243,-7.40484535,-14.26463317
